"Gene","logFC"
"Gene_692",-0.00388679403193848
"Gene_693",-0.0680929851864254
"Gene_694",-0.0101254187310595
"Gene_704",-0.0482104973716937
"Gene_705",-0.0164824163504225
"Gene_708",-0.00965914494705133
"Gene_709",-0.00305677103779489
"Gene_711",-0.0248222544600782
"Gene_713",-0.0200744759849116
"Gene_715",-0.010469275261376
"Gene_716",-0.0477805694939946
"Gene_721",-0.0397024381916582
"Gene_724",-0.00180954590341376
"Gene_726",-0.0213785986960375
"Gene_730",-0.00107094615235637
"Gene_734",-0.00138319383472618
"Gene_736",-0.0943533107624961
"Gene_740",-0.0175820880746671
"Gene_741",-0.00516390241555564
"Gene_742",-0.124319152836261
"Gene_744",-0.00515765356068609
"Gene_746",-0.0547080924502095
"Gene_753",-0.0365004057880078
"Gene_757",-0.0310464283911549
"Gene_760",-0.00348543281136227
"Gene_762",-0.00218865888745778
"Gene_763",-0.0105152797254897
"Gene_766",-0.00433427479328685
"Gene_768",-0.0883710175217787
"Gene_769",-0.0621183934348091
"Gene_772",-0.0664738738213542
"Gene_776",-0.0259874740328443
"Gene_779",-0.00358308569944787
"Gene_786",-0.0133565343767703
"Gene_791",-0.0131023179188814
"Gene_793",-0.0926249745152679
"Gene_796",-0.044437884174529
"Gene_797",-0.0343850822552159
"Gene_801",-0.0515812623296688
"Gene_803",-0.008826348028796
"Gene_804",-0.0332135915470642
"Gene_805",-0.0196875025914593
"Gene_806",-0.0166637630856976
"Gene_807",-0.000630867190783313
"Gene_808",-0.0258556823214726
"Gene_809",-0.0229617172992866
"Gene_818",-0.0062189392806844
"Gene_819",-0.054701940511718
"Gene_820",-0.0408970176688062
"Gene_824",-0.0292896985347535
"Gene_827",-0.0265224584420385
"Gene_829",-0.0517676620959602
"Gene_838",-0.0319435309495346
"Gene_840",-0.0343066922957607
"Gene_847",-0.0131914257102252
"Gene_853",-0.0548012261164614
"Gene_855",-0.0339176575021178
"Gene_861",-0.0346565612970502
"Gene_862",-0.027497612177219
"Gene_869",-0.0343975602060995
"Gene_871",-0.0181892857754145
"Gene_877",-0.0418804871255789
"Gene_884",-0.026058448470816
"Gene_888",-0.00904557250158433
"Gene_891",-0.0762825746047127
"Gene_896",-0.0146369615196615
"Gene_901",-0.0429747618515863
"Gene_906",-0.0144357654485296
"Gene_910",-0.0248943320931132
"Gene_916",-0.00446501217032136
"Gene_921",-0.109367479894904
"Gene_926",-0.0179385816577495
"Gene_929",-0.0194079751317631
"Gene_931",-0.0481308668257729
"Gene_943",-0.0105586755148348
"Gene_948",-0.00472059685403092
"Gene_953",-0.0425654083850873
"Gene_957",-0.00296693635632073
"Gene_959",-0.0183660099296037
"Gene_960",-0.0127765774045616
"Gene_961",-0.0613975906140336
"Gene_962",-0.0114080337629274
"Gene_964",-0.07911591282507
"Gene_968",-0.0250594141446667
"Gene_976",-0.050000572758309
"Gene_979",-0.00338546996473088
"Gene_981",-0.0695651559106292
"Gene_986",-0.00766739400440342
"Gene_993",-0.0492570741344913
"Gene_995",-0.0964419098951321
"Gene_999",-0.0226519801557949
"Gene_1007",-0.0227535025337953
"Gene_1008",-0.00722566295356319
"Gene_1010",-0.0345788630893837
"Gene_1013",-0.0336689503240852
"Gene_1015",-0.040932206499162
"Gene_1022",-0.000880982197807079
"Gene_1025",-0.0344158237923424
"Gene_1028",-0.0611554917511721
"Gene_1031",-0.0662585129684334
"Gene_1032",-0.0390421609739402
"Gene_1041",-0.092903777849326
"Gene_1045",-0.0122953612552394
"Gene_1046",-0.0519306099067731
"Gene_1049",-0.0250682461071703
"Gene_1051",-0.0110141607433607
"Gene_1055",-0.0184716386655319
"Gene_1065",-0.00235099956183715
"Gene_1070",-0.0390329208528843
"Gene_1072",-0.0403882419136061
"Gene_1078",-0.0291776536869803
"Gene_1081",-0.0022176069924833
"Gene_1083",-0.0799988802745752
"Gene_1086",-0.0905211346096091
"Gene_1087",-0.015616168034454
"Gene_1088",-0.0102496282590194
"Gene_1092",-0.028237651280727
"Gene_1094",-0.00122602538323546
"Gene_1097",-0.0112840295001138
"Gene_1107",-0.0270115526266914
"Gene_1108",-0.0292789323318847
"Gene_1117",-0.0380807347000784
"Gene_1119",-0.0290414073130258
"Gene_1123",-0.034157721875189
"Gene_1125",-0.000396835985475352
"Gene_1128",-0.0871325488001702
"Gene_1130",-0.034226204879479
"Gene_1136",-0.0488418643929673
"Gene_1137",-0.0197826225766669
"Gene_1140",-0.0625478571860945
"Gene_1141",-0.0056099193376884
"Gene_1148",-0.0225443834608372
"Gene_1149",-0.0468723982771304
"Gene_1158",-0.00531090318728777
"Gene_1159",-0.0171390439049137
"Gene_1162",-0.00591308347244279
"Gene_1163",-0.0260598238487502
"Gene_1164",-0.0726366036684465
"Gene_1172",-0.0310987987284701
"Gene_1174",-0.0192484078046835
"Gene_1175",-0.0181515371102527
"Gene_1176",-0.0328889268515549
"Gene_1178",-0.0129409361109856
"Gene_1180",-0.0584882029932237
"Gene_1184",-0.0133441966311345
"Gene_1185",-0.0237289616935312
"Gene_1186",-0.0329902038912842
"Gene_1193",-0.0175363768585206
"Gene_1196",-0.0144869725794923
"Gene_1197",-0.0707611625066655
"Gene_1199",-0.010933447741226
"Gene_1204",-0.047037155207772
"Gene_1206",-0.0184878229434693
"Gene_1207",-0.0423385045945288
"Gene_1214",-0.0415147867231149
"Gene_1221",-0.0237379525343746
"Gene_1222",-0.0191674963430315
"Gene_1225",-0.0243201854619444
"Gene_1226",-0.0279711036374386
"Gene_1227",-0.0199573058895099
"Gene_1234",-0.0200112415899607
"Gene_1238",-0.0345461191109395
"Gene_1248",-0.0359777029748689
"Gene_1249",-0.0979946929344933
"Gene_1250",-0.0402454957756615
"Gene_1251",-0.0343489364909835
"Gene_1253",-0.00769015347016211
"Gene_1262",-0.0449363212894403
"Gene_1263",-0.0409222112825387
"Gene_1264",-0.0284378808329122
"Gene_1266",-0.0298077316553571
"Gene_1267",-0.0119767300087865
"Gene_1273",-0.0654543374299181
"Gene_1282",-0.0223170954865344
"Gene_1283",-0.0232665827546898
"Gene_1288",-0.0200093204517797
"Gene_1297",-0.0137274676390251
"Gene_1304",-0.0415020127130981
"Gene_1315",-0.0482484805360999
"Gene_1317",-0.0708137998478366
"Gene_1318",-0.00153943589327632
"Gene_1319",-0.0103445533276973
"Gene_1320",-0.0224222267792773
"Gene_1323",-0.0243518878695164
"Gene_1328",-0.0159192527690974
"Gene_1331",-0.0527121272067257
"Gene_1339",-0.0505405501496772
"Gene_1341",-0.07722985637084
"Gene_1346",-0.0273481310255308
"Gene_1350",-0.123291075060143
"Gene_1356",-0.0525124696468775
"Gene_1361",-0.0201863920168051
"Gene_1364",-0.0271288535993217
"Gene_1367",-0.0341179675639749
"Gene_1369",-0.0106023145254972
"Gene_1375",-0.0394678671763278
"Gene_1385",-0.0278999056737375
"Gene_1387",-0.00525498114612688
"Gene_1388",-0.0424836974779477
"Gene_1391",-0.0399220454034181
"Gene_1400",-0.0417217655034454
"Gene_1401",-0.0216771208207347
"Gene_1402",-0.0496552721362411
"Gene_1406",-0.00303047946086021
"Gene_1407",-0.0152826755904019
"Gene_1413",-0.0441273148071297
"Gene_1414",-0.0915026050670829
"Gene_1422",-0.0915562500466751
"Gene_1428",-0.0298699673456051
"Gene_1430",-0.0345492125447624
"Gene_1436",-0.0457460992712244
"Gene_1438",-0.0913700285580514
"Gene_1439",-0.0129678495565191
"Gene_1441",-0.0370035009244276
"Gene_1443",-0.0155926702468872
"Gene_1447",-0.0366426863618137
"Gene_1454",-0.0236180639596921
"Gene_1455",-0.0528289201508527
"Gene_1457",-0.0076300799169049
"Gene_1459",-0.0195537077490555
"Gene_1460",-0.00571447282790416
"Gene_1463",-0.00620431071609762
"Gene_1465",-0.0573731903450576
"Gene_1475",-0.0707195487412804
"Gene_1477",-0.0517461002178541
"Gene_1479",-0.0123635492292546
"Gene_1483",-0.121910495287662
"Gene_1484",-0.0168097758329382
"Gene_1485",-0.032464646285149
"Gene_1486",-0.0390858267017493
"Gene_1488",-0.0670923081732164
"Gene_1494",-0.00790127340896429
"Gene_1495",-0.0196720055902491
"Gene_1497",-0.0333585441159356
"Gene_1499",-0.0452306325689422
"Gene_1500",-0.0209884314020079
"Gene_1502",-0.0241657518935656
"Gene_1504",-0.0466599417778304
"Gene_1511",-0.0205839511888604
"Gene_1515",-0.0258485366447418
"Gene_1518",-0.0448680464536246
"Gene_1522",-0.0279766269037185
"Gene_1523",-0.0202913585662361
"Gene_1524",-0.0330446500446659
"Gene_1526",-0.0076200104302715
"Gene_1530",-0.00457501548722528
"Gene_1534",-0.0489421335268565
"Gene_1535",-0.0200623567737419
"Gene_1538",-0.000877558592865313
"Gene_1544",-0.027708910421727
"Gene_1547",-0.0560048550466021
"Gene_1548",-0.0189537161428168
"Gene_1553",-0.0541810340185633
"Gene_1564",-0.0152352983446278
"Gene_1565",-0.0102650133348936
"Gene_1570",-0.039553388374745
"Gene_1572",-0.0454393585500696
"Gene_1576",-0.0153671344426289
"Gene_1578",-0.0187893303442626
"Gene_1584",-0.0407350683682739
"Gene_1588",-0.0569402057525186
"Gene_1591",-0.0511201637675844
"Gene_1593",-0.00897736175641528
"Gene_1594",-0.0778512463753187
"Gene_1596",-0.022041581763574
"Gene_1598",-0.111258828627856
"Gene_1599",-0.0489943456959967
"Gene_1604",-0.0174686920410401
"Gene_1606",-0.0159946635453134
"Gene_1610",-0.0631982733448906
"Gene_1613",-0.0601544117982864
"Gene_1624",-0.0631696007743567
"Gene_1626",-0.0223142418519409
"Gene_1634",-0.0573829941779591
"Gene_1636",-0.0444221801615825
"Gene_1638",-0.0410515798393156
"Gene_1645",-0.00935468972212394
"Gene_1652",-0.0193245092961871
"Gene_1663",-0.00937359562570439
"Gene_1669",-0.0785884851857159
"Gene_1672",-0.016396495427816
"Gene_1674",-0.01888925180848
"Gene_1675",-0.00907051718517282
"Gene_1679",-0.0165935665051142
"Gene_1683",-0.0266559535402386
"Gene_1684",-0.0162080797469257
"Gene_1685",-0.0477791629263526
"Gene_1686",-0.0243649275311562
"Gene_1687",-0.0128573864667856
"Gene_1688",-0.0802983000724362
"Gene_1689",-0.0387591195417296
"Gene_1698",-0.122949431646113
"Gene_1704",-0.012825348194986
"Gene_1706",-0.0109357341962646
"Gene_1707",-0.0351241115399707
"Gene_1712",-0.0669093462942008
"Gene_1715",-0.0298239025681841
"Gene_1716",-0.00107227155885781
"Gene_1719",-0.0055135857075328
"Gene_1720",-0.0273239034128223
"Gene_1723",-0.0246701347764535
"Gene_1724",-0.0897792467732295
"Gene_1725",-0.165750431919133
"Gene_1729",-0.0229311065700921
"Gene_1732",-0.00969315147325389
"Gene_1738",-0.0114438256241787
"Gene_1743",-0.0540645692162345
"Gene_1745",-0.0400904055546327
"Gene_1746",-0.0125288897045386
"Gene_1753",-0.016612233388456
"Gene_1756",-0.0178336386276481
"Gene_1762",-0.000770650877332191
"Gene_1764",-0.0210862775019676
"Gene_1766",-0.0334153517181659
"Gene_1772",-0.0950038604236205
"Gene_1773",-0.0380725337385299
"Gene_1781",-0.000763197021319328
"Gene_1789",-0.0240983924340847
"Gene_1799",-0.00182064377809121
"Gene_1803",-0.129973808650404
"Gene_1806",-0.00743074413310918
"Gene_1816",-0.0614897841966258
"Gene_1817",-0.0237784421163645
"Gene_1821",-0.00724392184820788
"Gene_1823",-0.0143371456063841
"Gene_1824",-0.0669995909853562
"Gene_1827",-0.0342766844539084
"Gene_1831",-0.0683804916530288
"Gene_1833",-0.0265254161684112
"Gene_1834",-0.0729703907467436
"Gene_1836",-0.0501658064196047
"Gene_1837",-0.00827009365991804
"Gene_1840",-0.0430347255962853
"Gene_1841",-0.0212808468419796
"Gene_1842",-0.0430982398729656
"Gene_1844",-0.0405224749669268
"Gene_1846",-0.0225935177244665
"Gene_1847",-0.0361702626757725
"Gene_1852",-0.0172911803048588
"Gene_1853",-0.00271715653913374
"Gene_1861",-0.0038216489680738
"Gene_1862",-0.0478926689789505
"Gene_1872",-0.023088661533913
"Gene_1875",-0.0306441085562539
"Gene_1880",-0.0316678564779651
"Gene_1885",-0.0704173062727347
"Gene_1888",-0.0360163735501442
"Gene_1891",-0.00506107739209671
"Gene_1897",-0.0318285638901803
"Gene_1898",-0.0836865370337136
"Gene_1901",-0.0495512378985081
"Gene_1902",-0.0117634840449194
"Gene_1903",-0.0620007106292415
"Gene_1904",-0.0584213701462466
"Gene_1910",-0.0122536248060614
"Gene_1913",-0.00980860712736886
"Gene_1914",-0.0226099091552436
"Gene_1918",-0.0819577867661616
"Gene_1920",-0.079312859728677
"Gene_1921",-0.101317294111288
"Gene_1930",-0.0333789608534332
"Gene_1940",-0.0046111077615687
"Gene_1943",-0.0728003929088263
"Gene_1945",-0.0142881403663915
"Gene_1952",-0.0118150975936842
"Gene_1957",-0.0141841190334255
"Gene_1959",-0.0263439462986854
"Gene_1960",-0.0552668142830148
"Gene_1968",-0.00695758884452324
"Gene_1969",-0.03719996754324
"Gene_1973",-0.00789399984069217
"Gene_1977",-0.016926441368907
"Gene_1979",-0.0463724542019626
"Gene_1983",-0.0585655299256969
"Gene_1986",-0.037358046269826
"Gene_1987",-0.0336062095737226
"Gene_1990",-0.0123304168989926
"Gene_1991",-0.0542310206696275
"Gene_1992",-0.0375107701834687
"Gene_1993",-0.0393788697811246
"Gene_1994",-0.0462058035676365
"Gene_1996",-0.0609708228834545
"Gene_2002",-0.0141179501649829
"Gene_2004",-0.0011039854636965
"Gene_2005",-0.0240736655903926
"Gene_2007",-0.00884006670477788
"Gene_2010",-0.0320589970719563
"Gene_2014",-0.0550977791358851
"Gene_2016",-0.106503801531551
"Gene_2019",-0.0297755860379758
"Gene_2022",-0.0569861808611436
"Gene_2024",-0.000374125880375775
"Gene_2027",-0.0294158895216765
"Gene_2030",-0.0276264291487078
"Gene_2031",-0.104206212332147
"Gene_2033",-0.0685693859066516
"Gene_2034",-0.000126751663350522
"Gene_2037",-0.00636002929526569
"Gene_2038",-0.0413048042862965
"Gene_2040",-0.00334579095259135
"Gene_2043",-0.00902404610783103
"Gene_2046",-0.0285090821999145
"Gene_2047",-0.0221263299428611
"Gene_2058",-0.0445688724319067
"Gene_2059",-0.0215249254064052
"Gene_2061",-0.0190544597855493
"Gene_2062",-0.107869182908135
"Gene_2063",-0.0532384088994764
"Gene_2066",-0.0339667626605262
"Gene_2067",-0.0371492653456107
"Gene_2068",-0.0232815653707874
"Gene_2069",-0.0453037261766744
"Gene_2071",-0.0167418268950179
"Gene_2073",-0.0603195434634305
"Gene_2077",-0.0271083560035668
"Gene_2082",-0.00222045152688555
"Gene_2083",-0.0125080470747192
"Gene_2088",-0.0280687730971256
"Gene_2089",-0.00810381165691254
"Gene_2090",-0.000767516634254672
"Gene_2091",-0.0319644885064867
"Gene_2092",-0.059132959614256
"Gene_2096",-0.0475824667992191
"Gene_2100",-0.133573056389719
"Gene_2105",-0.00759242554813344
"Gene_2113",-0.0132549642014141
"Gene_2114",-0.00240726143351822
"Gene_2116",-0.0341257493462206
"Gene_2126",-0.0537129268607028
"Gene_2128",-0.00941831258304049
"Gene_2134",-0.0464181417380125
"Gene_2140",-0.0220320705755608
"Gene_2146",-0.0185361162832289
"Gene_2147",-0.0186710400750791
"Gene_2156",-0.155283657436763
"Gene_2161",-0.0291682449001893
"Gene_2162",-0.00905220052275491
"Gene_2167",-0.00696311482903811
"Gene_2170",-0.109088518024294
"Gene_2171",-0.0169463664859699
"Gene_2178",-0.0252409888985619
"Gene_2179",-0.0266329421829843
"Gene_2182",-0.00643117257364745
"Gene_2183",-0.189053423259949
"Gene_2185",-0.0124595845799975
"Gene_2196",-0.0132509349503245
"Gene_2197",-0.0929834758628085
"Gene_2200",-0.00828679417077316
"Gene_2201",-0.0148193633593783
"Gene_2204",-0.00891674755540128
"Gene_2206",-0.00568880588815013
"Gene_2209",-0.045133887973464
"Gene_2211",-0.00395933989840325
"Gene_2212",-0.0239705749669659
"Gene_2213",-0.054410475335867
"Gene_2214",-0.0578478252879679
"Gene_2215",-0.0302462146174811
"Gene_2219",-0.0676913261314342
"Gene_2227",-0.0292503232878056
"Gene_2234",-0.0285118549672401
"Gene_2235",-0.0310179667338271
"Gene_2238",-0.0147784383461853
"Gene_2240",-0.0206813794238823
"Gene_2245",-0.0318499636079896
"Gene_2250",-0.0131047592955058
"Gene_2255",-0.00320039163033714
"Gene_2256",-0.0662863146003674
"Gene_2258",-0.0353647222117552
"Gene_2263",-0.0362688395326258
"Gene_2272",-0.0123646637485009
"Gene_2273",-0.0210665222972306
"Gene_2281",-0.0493329299997414
"Gene_2282",-0.0010615509801668
"Gene_2285",-0.0428758325953615
"Gene_2286",-0.00501033100100878
"Gene_2289",-0.155808138255261
"Gene_2290",-0.0381332765194555
"Gene_2292",-0.0859461329855273
"Gene_2293",-0.00639794824367179
"Gene_2295",-0.000331894874921801
"Gene_2296",-0.00315344987241106
"Gene_2300",-0.0437789207521591
"Gene_2304",-0.010661071341465
"Gene_2308",-0.0510991933270541
"Gene_2311",-0.0803065877155897
"Gene_2315",-0.0476635341673397
"Gene_2316",-0.0355232543554966
"Gene_2317",-0.0717787904545002
"Gene_2321",-0.0941356996038376
"Gene_2323",-0.000455401585367277
"Gene_2324",-0.0207405258878537
"Gene_2325",-0.0404693159344114
"Gene_2326",-0.0217177939965469
"Gene_2329",-0.0187043675635281
"Gene_2331",-0.0345252082649319
"Gene_2332",-0.00355428485735976
"Gene_2337",-0.047899569214648
"Gene_2339",-0.0371960516285466
"Gene_2342",-0.103653450252382
"Gene_2344",-0.112677477256014
"Gene_2354",-0.054599150715207
"Gene_2355",-0.0822558872705521
"Gene_2358",-0.0665682377527972
"Gene_2361",-0.0538954437320007
"Gene_2367",-0.0353150357264385
"Gene_2368",-0.0179737102746595
"Gene_2369",-0.0684223962824309
"Gene_2372",-0.00798988643885368
"Gene_2373",-0.0384237454689118
"Gene_2380",-0.0923633234026262
"Gene_2382",-0.0638340459080928
"Gene_2383",-0.0263337978068141
"Gene_2386",-0.0143411022454876
"Gene_2390",-0.0110061159271959
"Gene_2391",-0.0969949238998442
"Gene_2394",-0.131527052560913
"Gene_2395",-0.0124842210935587
"Gene_2398",-0.00200137029447855
"Gene_2400",-0.0376293539337187
"Gene_2402",-0.0868185797985324
"Gene_2405",-0.00141727411655079
"Gene_2407",-0.028279188422387
"Gene_2410",-0.0461067418371943
"Gene_2416",-0.0749936390576771
"Gene_2417",-0.028268974888086
"Gene_2419",-0.0249363179136841
"Gene_2421",-0.0296601785766355
"Gene_2423",-0.0298459088591621
"Gene_2424",-0.0105627438256324
"Gene_2425",-0.0282983690427887
"Gene_2430",-0.0428216067663918
"Gene_2432",-0.017259864991352
"Gene_2433",-0.0118936893430841
"Gene_2437",-0.0353644729213864
"Gene_2439",-0.0088836852723615
"Gene_2440",-0.0959676534650615
"Gene_2441",-0.0501502805091385
"Gene_2445",-0.0199799234123144
"Gene_2446",-0.0284119938921981
"Gene_2455",-0.0866585385633694
"Gene_2458",-0.0379697841164819
"Gene_2464",-0.0784090789930074
"Gene_2469",-0.0129286882209736
"Gene_2470",-0.116519538133544
"Gene_2475",-0.0234480991099191
"Gene_2492",-0.00545983306183651
"Gene_2493",-0.01952790019685
"Gene_2495",-0.0136319231288535
"Gene_2496",-0.00188608984704519
"Gene_2499",-0.0390788528420645
"Gene_2505",-0.0239567429651357
"Gene_2507",-0.023487154798187
"Gene_2512",-0.00264619965328983
"Gene_2514",-0.0162956051366989
"Gene_2520",-0.0174995211647784
"Gene_2524",-0.0424788703183703
"Gene_2527",-0.0344921796373967
"Gene_2528",-0.0788644927726421
"Gene_2530",-0.0674189539515657
"Gene_2534",-0.0431000153604453
"Gene_2535",-0.00469757542411786
"Gene_2538",-0.0400516836426812
"Gene_2551",-0.0343558249768652
"Gene_2553",-0.0675021151533501
"Gene_2555",-0.00656301313068619
"Gene_2560",-0.0454225075924279
"Gene_2561",-0.036478690491903
"Gene_2566",-0.00981183865684754
"Gene_2567",-0.0232355007492338
"Gene_2572",-0.0680356451181554
"Gene_2576",-0.0134081170570459
"Gene_2585",-0.0156571653394675
"Gene_2591",-0.0420222036016891
"Gene_2596",-0.00728231081657738
"Gene_2597",-0.0107408991478501
"Gene_2599",-0.115190066949209
"Gene_2600",-0.0056506146427
"Gene_2602",-0.00768742133441558
"Gene_2605",-0.0044867642709856
"Gene_2606",-0.0227684240065233
"Gene_2607",-0.0217390992049613
"Gene_2615",-0.068288548751775
"Gene_2618",-0.0509821979737026
"Gene_2619",-0.0759075692449098
"Gene_2625",-0.0297677522203506
"Gene_2627",-0.0255411609037077
"Gene_2629",-0.0361928230411728
"Gene_2632",-0.0619863063720185
"Gene_2634",-0.000559719957047733
"Gene_2656",-0.0445198913347435
"Gene_2657",-0.00023463312688321
"Gene_2658",-0.0390344713425095
"Gene_2660",-0.0672359544844623
"Gene_2665",-0.000594215076842541
